Index,News Source,URL,Parent entity,Child Entity,Sentiment,Weight,Confidence Score,Cost,Summary (upto 10 words)
1,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2024/nov/01/front-page/big-its-buying-startups-to-plug-ai-tech-gaps/articleshow/114829384.cms,Persistent Systems,AI,Positive,0.45,0.039,0,"Big IT’s Buying Startups to Plug AI, Tech Gaps"
2,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/cautious-on-largecap-it-metals-zomato-or-swiggy-reliance-can-be-portfolio-bets-dipan-mehta/articleshow/116198052.cms,Persistent Systems,AI,Positive,0.35,0.258,0,"Cautious on largecap IT, metals; Zomato or Swiggy & Reliance"
3,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/our-aspiration-is-to-make-persistent-a-2-billion-plus-company-in-next-three-years-ceo/articleshow/109528101.cms,Persistent Systems,AI,Positive,0.75,0.183,0,Our aspiration is to make Persistent a $2 billion plus
4,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/billion-dollar-specialists-persistent-kpit-to-outperform-with-up-to-30-returns-says-bernstein/articleshow/111634516.cms,Persistent Systems,AI,Positive,0.55,0.12,0,"Billion-dollar specialists! Persistent, KPIT to outperform with up to 30%"
5,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/coforge-and-hcl-tech-top-it-picks-with-potential-23-returns-each/articleshow/115352498.cms,Persistent Systems,AI,Positive,0.375,0.226,0,Coforge and HCL Tech: Top IT picks with potential 23%
6,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/from-cyient-to-tcs-49-it-stocks-see-fii-selling-amid-year-long-slump-do-you-own-any/articleshow/125970165.cms,Persistent Systems,AI,Negative,0.375,0.116,0,"From Cyient to TCS, 49 IT stocks see FII selling"
7,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/if-ai-can-disrupt-future-track-these-9-artificial-intelligence-stocks/articleshow/110032998.cms,Persistent Systems,AI,Positive,0.575,0.086,0,"If AI can disrupt future, track these 9 artificial intelligence"
8,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/it-stocks-hit-decade-high-3-2-dividend-yield-as-fiis-flee-should-you-buy-tcs-infosys-wipro-before-q1-results/articleshow/122310362.cms,Persistent Systems,AI,Positive,0.475,0.152,0,IT stocks hit decade-high 3.2% dividend yield as FIIs flee.
9,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/jefferies-upgrades-streets-most-hated-stocks-says-q1-earnings-not-too-bad/articleshow/123087923.cms,Persistent Systems,AI,Negative,0.35,0.286,0,"Jefferies upgrades Street's most hated stocks, says Q1 earnings not"
10,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/jpmorgan-downgrades-hcl-tech-slashes-target-prices-across-indian-it-on-muted-fy26-growth-outlook/articleshow/119896294.cms,Persistent Systems,AI,Positive,0.375,0.078,0,"JPMorgan downgrades HCL Tech, slashes target prices across Indian IT"
11,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/market-wrap-d-street-ends-flat-as-ril-icici-bank-offset-it-gains-sensex-adds-32-pts-nifty-holds-23650/articleshow/119473863.cms,Persistent Systems,AI,Positive,0.275,0.225,0,"Market Wrap: D-Street ends flat as RIL, ICICI Bank offset"
12,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/persistent-systems-shares-tumble-7-after-q1-results-disappoint-investors/articleshow/111852890.cms,Persistent Systems,AI,Positive,0.375,0.101,0,Persistent Systems shares tumble 7% after Q1 results disappoint investors
13,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/stable-largecaps-or-high-growth-tier-2-bets-investors-it-stock-conundrum-at-play/articleshow/119931088.cms,Persistent Systems,AI,Positive,0.375,0.092,0,Stable largecaps or high-growth tier-2 bets? Investors' IT stock conundrum
14,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/tcs-infosys-wipro-rally-up-to-3-as-dovish-fed-outlook-lifts-indian-it-stocks/articleshow/119240222.cms,Persistent Systems,AI,Positive,0.45,0.159,0,"TCS, Infosys, Wipro rally up to 3% as dovish Fed"
15,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/why-stock-market-is-falling-today-sensex-falls-over-650-pts-nifty-slips-below-25050-3-reasons-behind-the-slump/articleshow/122876302.cms,Persistent Systems,AI,Positive,0.275,0.133,0,"Why stock market fell today: Sensex falls 542 pts, Nifty"
16,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/big-it-expects-growth-momentum-to-continue-in-september-quarter/articleshow/113860625.cms,Persistent Systems,AI,Positive,0.55,0.107,0,Indian IT earnings: Big IT expects growth momentum to continue
17,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/in-it-services-market-nimble-midsize-cos-gain-over-large-caps/articleshow/125986537.cms,Persistent Systems,AI,Positive,0.475,0.284,0,"In IT services market, nimble midsize cos gain over large"
18,economictimes.indiatimes.com,https://economictimes.indiatimes.com/tech/information-tech/indian-it-sees-pockets-of-h2-recovery-in-us-eu-as-bfsi-revs-up/articleshow/124833768.cms,Persistent Systems,AI,Positive,0.675,0.262,0,"Indian IT sees pockets of H2 recovery in US, EU"
