run_id,source,url,summary,entities,sentiment,input_tokens,output_tokens,estimated_cost_usd
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/explained-how-ibms-13-plunge-on-anthropics-cobol-disruption-fears-sparked-bloodbath-in-tcs-infosys-wipro-other-it-stocks/articleshow/128773665.cms,"IBM Share Price and Anthropic AI Impact: IT stocks slumped on February 24, falling up to 8%, after IBM plunged 13% on Wall Street—its worst drop in 25 years—amid concerns that Anthropic’s Claude AI tool could streamline COBOL code and disrupt IBM’s legacy business. The weakness spilled over to Indian IT names.",NIFTIT,negative (-0.75),784,283,0.000096
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/ai-transition-to-be-painful-for-it-industry-as-it-involves-humans-hcltech-ceo/articleshow/128743773.cms,"Amid widespread concerns on jobs and the relevance of the nearly $300 billion India IT services sector, a key industry leader on Tuesday said the current transition will be ""painful"" because it involves humans.",NIFTIT,negative (-0.70),613,155,0.000062
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/tcs-servicenow-enter-multi-year-partnership-to-scale-enterprise-ai-adoption/articleshow/128714292.cms,"Tata Consultancy Services (TCS) and ServiceNow signed a multi-year partnership to accelerate artificial intelligence adoption for enterprises across various business functions. According to a Tata Consultancy Services exchange filing, the collaboration focuses on reimagining work transformation through AI in back-office operations, including human resources, finance, supply chain, procurement, and employee services.",NIFTIT,positive (0.85),685,219,0.000078
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/ai-to-redefine-it-business-models-jefferies-flags-structural-risks-and-slower-growth/articleshow/128708032.cms,"Jefferies in its latest report has revised downward its earnings estimates for the IT sector, citing structural changes driven by artificial intelligence (AI), which may significantly alter the traditional business mix of IT companies.",NIFTIT,negative (-0.65),604,290,0.000088
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/ltimindtree-wins-100-million-deal-with-a-european-medtech-firm/articleshow/128704443.cms,"IT services ‌company ⁠LTIMindtree announced a multi-year, $100 million strategic agreement with a MedTech company in Europe, a leading provider of innovative hearing solutions, to deliver product development and support across its flagship products.",NIFTIT,positive (0.85),637,263,0.000084
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/indian-it-captains-hold-firm-amid-raging-agentic-ai-storm/articleshow/128618703.cms,"K Krithivasan, chief executive officer and managing director of Tata Consultancy Services (TCS), said while it’s not clear exactly what the roles will be a few years down the line due to disruption owing to AI, he does not envisage a “significant shrinkage” to TCS and the industry at large.",NIFTIT,positive (0.30),667,224,0.000078
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/ai-services-a-real-opportunity-for-it-to-adapt-move-fast/articleshow/128576058.cms,"Vinod Khosla says AI could transform the world into an era of abundance, where people need not work and can pursue their passions. He warns that India’s IT services industry must adapt quickly to offer AI services globally or risk obsolescence. The country’s talent and cost advantages create a major opportunity.",NIFTIT,positive (0.70),676,289,0.000092
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/1-5-trillion-tech-services-industry-is-still-standing-infosys-ceo-salil-parekh/articleshow/128574385.cms,"Infosys CEO Salil Parekh says the $1.5 trillion global tech services industry is far from being destroyed, despite AI compressing some areas. He sees significant growth opportunities in six key segments. Parekh adds that the Indian IT industry is likely to thrive by 2030 by leveraging these areas.",NIFTIT,positive (0.70),688,285,0.000091
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/india-can-become-one-of-the-worlds-most-consequential-ai-environments-wipros-rishad-premji/articleshow/128557217.cms,"India has the opportunity to become one of the world's most consequential environments for AI application but the country's advantage will be defined by the choices it makes regarding where to apply, diffuse and responsibly deploy the new wave of technology to translate capability into real impact, Wipro executive chairman, Rishad Premji said on Thursday.",NIFTIT,positive (0.70),694,153,0.000065
run-000002,Economic Times Information Technology,https://economictimes.indiatimes.com/tech/information-tech/it-services-sector-can-thrive-in-the-ai-age-if-they-reinvent-julie-sweet-accenture/articleshow/128550379.cms,"Speaking at the India AI Impact Summit at New Delhi on Thursday, Sweet drew lessons from 2013, when an Oxford University study warned that 47% of US jobs were automatable and robotic process automation (RPA) was expected to damage IT services. However, the opposite happened.",NIFTIT,positive (0.70),676,219,0.000078
