Index,News Source,URL,Parent entity,Child Entity,Sentiment,Weight,Confidence Score,Cost,Summary (upto 10 words)
1,cnbc.com,https://www.cnbc.com/2024/01/01/its-a-big-election-year-around-the-world-heres-where-the-pros-are-watching.html,Infosys,Economics,Positive,0.375,0.139,0,It’s a big election year around the world. Here’s where
2,cnbc.com,https://www.cnbc.com/2024/01/01/its-a-big-election-year-around-the-world-heres-where-the-pros-are-watching.html,Infosys,Semiconductor,Positive,0.2,0.041,0,It’s a big election year around the world. Here’s where
3,cnbctv18.com,https://www.cnbctv18.com/business/us-sanctions-russian-oil-firms-pm-modi-may-skip-asean-summit-india-us-trade-deal-in-focus-and-more-19722783.htm,Infosys,Economics,Positive,0.3,0.137,0,US sanctions Russian oil firms; PM Modi may skip ASEAN
4,cnbctv18.com,https://www.cnbctv18.com/business/us-sanctions-russian-oil-firms-pm-modi-may-skip-asean-summit-india-us-trade-deal-in-focus-and-more-19722783.htm,Infosys,India-US relations,Positive,0.475,0.196,0,US sanctions Russian oil firms; PM Modi may skip ASEAN
5,cnbctv18.com,https://www.cnbctv18.com/business/us-sanctions-russian-oil-firms-pm-modi-may-skip-asean-summit-india-us-trade-deal-in-focus-and-more-19722783.htm,Infosys,gold silver copper,Positive,0.4,0.137,0,US sanctions Russian oil firms; PM Modi may skip ASEAN
6,economictimes.indiatimes.com,https://economictimes.indiatimes.com/epaper/delhicapital/2024/mar/09/satet-front/gpu-access-to-power-up-indias-ai-play-experts/articleshow/108336960.cms,Infosys,AI,Positive,0.575,0.112,0,GPU Access to Power Up India’s AI Play: Experts
7,economictimes.indiatimes.com,https://economictimes.indiatimes.com/jobs/mid-career/tier-2-it-firms-upstage-sector-leaders-in-talent-poaching/articleshow/110774044.cms,Infosys,AI,Positive,0.375,0.181,0,Midcap IT companies in India poach talent from industry majors
8,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/ai-mania-pulling-global-capital-away-but-indias-next-rally-hinges-on-industrials-pashupati-advani/articleshow/124699583.cms,Infosys,AI,Positive,0.475,0.121,0,"AI mania pulling global capital away, but India’s next rally"
9,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/could-it-make-a-meaningful-comeback-in-q1-deven-choksey-explains/articleshow/111421305.cms,Infosys,AI,Positive,0.65,0.076,0,Could IT make a meaningful comeback in Q1? Deven Choksey
10,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/gst-relief-yet-to-translate-into-consumption-boost-warns-dhananjay-sinha/articleshow/125542341.cms,Infosys,AI,Positive,0.6,0.094,0,"GST relief yet to translate into consumption boost, warns Dhananjay"
11,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/sandip-agarwals-4-top-bets-from-it-sector-for-near-term/articleshow/110791619.cms,Infosys,AI,Positive,0.3,0.229,0,Sandip Agarwal's 4 top bets from IT sector for near
12,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/use-any-rallies-to-switch-from-it-to-domestic-themes-vinit-bolinjkar/articleshow/109841113.cms,Infosys,AI,Positive,0.4,0.234,0,Use any rallies to switch from IT to domestic themes:
13,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/expert-view/what-should-investors-do-with-defence-stocks-mayuresh-joshi-answers/articleshow/110769681.cms,Infosys,AI,Positive,0.4,0.261,0,What should investors do with defence stocks? Mayuresh Joshi answers
14,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/earnings/india-tech-valuations-put-to-the-test-as-global-headwinds-put-pressure-on-earnings/articleshow/106574641.cms,Infosys,AI,Positive,0.55,0.168,0,India tech valuations put to the test as global headwinds
15,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-d-street-action-on-tuesday/articleshow/107636837.cms,Infosys,AI,Positive,0.375,0.315,0,Ahead of Market: 10 things that will decide D-Street action
16,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-market-action-on-wednesday/articleshow/125568855.cms,Infosys,AI,Positive,0.475,0.182,0,Ahead of Market: 10 things that will decide stock market
17,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/eternal-surpasses-2-tata-group-firms-in-market-cap-enters-nifty50s-top-25-club/articleshow/123918033.cms,Infosys,AI,Positive,0.5,0.162,0,"Eternal surpasses 2 Tata Group firms in market cap, sets"
18,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/fiis-pull-out-rs-80000-crore-from-10-bluechip-stocks-but-the-selling-may-finally-be-getting-over/articleshow/125289481.cms,Infosys,AI,Positive,0.375,0.201,0,"FIIs pull out Rs 80,000 crore from 10 bluechip stocks"
19,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/infosys-caught-in-buyback-vs-ai-tangle-whats-beneficial-for-its-26-lakh-shareholders/articleshow/123914132.cms,Infosys,AI,Positive,1.0,0.174,0,Infosys caught in buyback vs AI tangle: What's beneficial for
20,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/it-giants-add-22-billion-to-market-cap-in-just-2-days/articleshow/106862587.cms,Infosys,AI,Neutral,0.675,1.0,0,IT giants add $22 billion to market cap in just
21,economictimes.indiatimes.com,https://economictimes.indiatimes.com/markets/stocks/news/lack-of-ai-is-reducing-indian-software-stocks-heft-as-tech-bets/articleshow/110193228.cms,Infosys,AI,Positive,0.475,0.217,0,AI-led tech craze leaves mega Indian software stocks in the
